Name,Muscle Group,Equipment
45 Degree Cable Rear Delt Pull,Shoulders,Cable
Ab Wheel,Abs,Bodyweight Only
Ab Ripper X,Abs,Bodyweight Only
Air Squats,Quads,Bodyweight Only
Arnold Press,Shoulders,Dumbbell
Assisted Dip,Triceps,Band Assistance
Assisted Pullup (Normal Grip),Back,Band Assistance
Assisted Pullup (Parallel Grip),Back,Band Assistance
Assisted Pullup (Underhand Grip),Back,Band Assistance
Assisted Pullup (Wide Grip),Back,Band Assistance
Assisted Pullup (Normal Grip),Back,Machine Assistance
Assisted Pullup (Parallel Grip),Back,Machine Assistance
Assisted Pullup (Underhand Grip),Back,Machine Assistance
Assisted Pullup (Wide Grip),Back,Machine Assistance
Back Extension,Back,Bodyweight Loadable 
Back Raise (45 degree),Hamstrings,Bodyweight Only
Back Raise (Glute Ham Deck),Hamstrings,Bodyweight Only
Barbell Bent Over Row,Back,Barbell
Barbell Bent Over Shrug,Traps,Barbell
Barbell Curl,Biceps,Barbell
Barbell Facepull,Shoulders,Barbell
Barbell Flexion Row,Back,Barbell
Barbell Front Raise,Shoulders,Barbell
Barbell Front Raise (EZ Bar Underhand),Shoulders,Barbell
Barbell Good Morning,Hamstrings,Barbell
Barbell Hip Thrust,Glutes,Barbell
Barbell Overhead Triceps Extension,Triceps,Barbell
Barbell Row to Chest,Back,Barbell
Barbell Shoulder Press,Shoulders,Barbell
Barbell Shrug,Traps,Barbell
Barbell Skullcrusher,Triceps,Barbell
Barbell Split Squat,Quads,Barbell
Barbell Squat,Quads,Barbell
Barbell Standing Wrist Curl,Forearms,Barbell
Barbell Upright Row,Shoulders,Barbell
Bayesian Curl,Biceps,Cable
Belt Squat,Quads,Cable
Belt Squat Calves,Calves,Cable
Bench Press,Chest,Barbell
Bench Press (Incline),Chest,Barbell
Bench Press (Decline),Chest,Barbell
Bodyweight Squat,Quads,Bodyweight Only
Bulgarian Split Squat,Quads,Dumbbell
Cable Bent Over Shrug,Traps,Cable
Cable Chest Press,Chest,Cable
Cable Cross Body Bent Lateral Raise,Shoulders,Cable
